Sort,State,FIPS,County,Population (2010),Population (2019),Lat,Lon,ng_share_in_state2020,e_share_in_state2020,state_pop_share_2019,offshore-wind-allowed,ISONE_zone
316,CT,9015,Windham,118428,1.17E+05,41.824999,71.990702,0.050792863,0.038700757,0.032755287,0,CT
315,CT,9013,Tolland,152691,1.51E+05,41.858076,72.340977,0.00859301,0.017122668,0.042274577,0,CT
312,CT,9007,Middlesex,165676,1.62E+05,41.434525,72.524227,0.062482087,0.070594871,0.045560428,0,CT
311,CT,9005,Litchfield,189927,1.80E+05,41.791897,73.235428,0.149777461,0.037761337,0.05058022,0,CT
314,CT,9011,New London,274055,2.65E+05,41.47863,72.103452,0.093262226,0.03764322,0.074385596,0,CT
313,CT,9009,New Haven,862477,8.55E+05,41.349717,72.900204,0.206861755,0.29886766,0.239744234,0,CT
310,CT,9003,Hartford,894014,8.92E+05,41.7924,72.8043,0.211056653,0.270560568,0.250111702,0,CT
309,CT,9001,Fairfield,916829,9.43E+05,41.256,73.3709,0.217173946,0.228748919,0.264587956,0,CT
1227,MA,25019,Nantucket,10172,1.14E+04,41.305878,70.14191,0.001116269,0.001526397,0.001653826,1,MA
1221,MA,25007,Dukes,16535,1.73E+04,41.380939,70.701536,0.000705692,0.001109218,0.002514616,1,MA
1223,MA,25011,Franklin,71372,7.02E+04,42.583791,72.591655,0.030973966,0.025699316,0.010182078,0,MA
1219,MA,25003,Berkshire,131219,1.25E+05,42.375314,73.213948,0.05121962,0.024857679,0.018127522,0,MA
1225,MA,25015,Hampshire,158080,1.61E+05,42.339459,72.663694,0.011596225,0.012422392,0.023334049,0,MA
1218,MA,25001,Barnstable,215888,2.13E+05,41.798819,70.211083,0.02134054,0.015567153,0.030901691,1,MA
1224,MA,25013,Hampden,463490,4.66E+05,42.136198,72.635648,0.098038123,0.083410969,0.067663663,0,MA
1229,MA,25023,Plymouth,494919,5.21E+05,41.987196,70.741942,0.029263878,0.04764946,0.075618683,1,MA
1220,MA,25005,Bristol,548285,5.65E+05,41.748576,71.087062,0.135618136,0.134124105,0.082004607,1,MA
1228,MA,25021,Norfolk,670850,7.07E+05,42.169703,71.179875,0.070106493,0.066615836,0.102542574,1,MA
1222,MA,25009,Essex,743159,7.89E+05,42.642711,70.865107,0.151503918,0.163739829,0.114477136,1,MA
1230,MA,25025,Suffolk,722023,8.04E+05,42.33196,71.020173,0.061934451,0.03932215,0.116634987,1,MA
1231,MA,25027,Worcester,798552,8.31E+05,42.311693,71.940282,0.161851224,0.150776719,0.120510938,0,MA
1226,MA,25017,Middlesex,1503085,1.61E+06,42.479477,71.396507,0.174731463,0.233178777,0.233833631,1,MA
1188,ME,23021,Piscataquis,17535,1.68E+04,45.917678,69.104548,0.023141198,0.053098402,0.01248687,0,ME
1181,ME,23007,Franklin,30768,3.02E+04,44.973012,70.444727,0.093240154,0.018839688,0.02246595,0,ME
1192,ME,23029,Washington,32856,3.14E+04,44.967009,67.609354,0.10386626,0.008915364,0.023343788,0,ME
1185,ME,23015,Lincoln,34457,3.46E+04,43.994265,69.514029,0.004282064,0.010217342,0.025765281,0,ME
1189,ME,23023,Sagadahoc,35293,3.59E+04,43.916694,69.843994,0.000988444,0.002581114,0.026674364,0,ME
1191,ME,23027,Waldo,38786,3.97E+04,44.505361,69.139678,0.007534797,0.022601939,0.029545191,0,ME
1184,ME,23013,Knox,39736,3.98E+04,44.042045,69.038515,0.029198621,0.016863038,0.029587595,0,ME
1190,ME,23025,Somerset,52228,5.05E+04,45.507482,69.97604,0.213852365,0.249681589,0.037556576,0,ME
1182,ME,23009,Hancock,54418,5.50E+04,44.564906,68.370703,0.009615599,0.008905714,0.040906494,0,ME
1186,ME,23017,Oxford,57833,5.80E+04,44.494585,70.734688,0.103564106,0.096612907,0.043129358,0,ME
1179,ME,23003,Aroostook,71870,6.71E+04,46.727057,68.64941,0.09518727,0.097849847,0.049884244,0,ME
1178,ME,23001,Androscoggin,107702,1.08E+05,44.167681,70.207435,0.054010863,0.091825252,0.080550538,0,ME
1183,ME,23011,Kennebec,122151,1.22E+05,44.417012,69.765764,0.025010735,0.020341997,0.09098416,0,ME
1187,ME,23019,Penobscot,153923,1.52E+05,45.390602,68.657487,0.030806274,0.052761616,0.113187503,0,ME
1193,ME,23031,York,197131,2.08E+05,43.427239,70.670402,0.06332824,0.104360105,0.154470426,0,ME
1180,ME,23005,Cumberland,281674,2.95E+05,43.808348,70.330375,0.142373011,0.144544085,0.219461662,0,ME
1768,NH,33007,Coos,33055,3.16E+04,44.652419,71.289383,0.048241865,0.034018475,0.023213021,0,NH
1774,NH,33019,Sullivan,43742,4.31E+04,43.361188,72.222084,0.03461704,0.033364405,0.031731743,0,NH
1766,NH,33003,Carroll,47818,4.89E+04,43.867567,71.201665,0.01020767,0.023717508,0.035970879,0,NH
1765,NH,33001,Belknap,60088,6.13E+04,43.519109,71.425366,0.027247088,0.025253271,0.045085316,0,NH
1767,NH,33005,Cheshire,77117,7.61E+04,42.925455,72.248217,0.045171846,0.071441759,0.055956744,0,NH
1769,NH,33009,Grafton,89118,8.99E+04,43.926488,71.842264,0.041228199,0.071651287,0.066106695,0,NH
1773,NH,33017,Strafford,123143,1.31E+05,43.293177,71.035927,0.081979315,0.146237791,0.096074092,0,NH
1771,NH,33013,Merrimack,146445,1.51E+05,43.299485,71.68013,0.047664554,0.067652342,0.111340572,0,NH
1772,NH,33015,Rockingham,295223,3.10E+05,42.98936,71.099437,0.378001956,0.225250261,0.227819735,0,NH
1770,NH,33011,Hillsborough,400721,4.17E+05,42.911643,71.723101,0.285640466,0.3014129,0.306701203,0,NH
2312,RI,44001,Bristol,49875,4.85E+04,41.705271,71.285053,0.020392088,0.029415374,0.045762493,1,RI
2314,RI,44005,Newport,82888,8.21E+04,41.502732,71.284063,0.038956255,0.02418869,0.077482558,1,RI
2316,RI,44009,Washington,126979,1.26E+05,41.401162,71.617612,0.423554535,0.306946385,0.118540328,1,RI
2313,RI,44003,Kent,166158,1.64E+05,41.67775,71.576314,0.074923471,0.078500917,0.155085943,1,RI
2315,RI,44007,Providence,626667,6.39E+05,41.870488,71.578242,0.44217365,0.560948634,0.603128679,1,RI
2811,VT,50009,Essex,6306,6.16E+03,44.724021,71.732736,0.001661803,0.006527814,0.009876777,0,VT
2813,VT,50013,Grand Isle,6970,7.24E+03,44.801788,73.300758,0.001739459,0.003391205,0.011594756,0,VT
2814,VT,50015,Lamoille,24475,2.54E+04,44.603504,72.638356,0.005954288,0.011049398,0.040644947,0,VT
2816,VT,50019,Orleans,27231,2.70E+04,44.828442,72.25163,0.007898298,0.018880585,0.043329289,0,VT
2815,VT,50017,Orange,28936,2.89E+04,44.003392,72.369687,0.006128223,0.014389207,0.046302098,0,VT
2809,VT,50005,Caledonia,31227,3.00E+04,44.468791,72.112168,0.317915115,0.112157598,0.048066552,0,VT
2808,VT,50003,Bennington,37125,3.55E+04,43.035325,73.11146,0.013143465,0.034564294,0.056843951,0,VT
2807,VT,50001,Addison,36821,3.68E+04,44.031248,73.141581,0.041621145,0.029315635,0.058938539,0,VT
2819,VT,50025,Windham,44513,4.22E+04,42.999143,72.716335,0.139488908,0.103528161,0.067664654,0,VT
2812,VT,50011,Franklin,47746,4.94E+04,44.858964,72.909402,0.097265385,0.058765784,0.079171267,0,VT
2820,VT,50027,Windsor,56670,5.51E+04,43.588143,72.591515,0.0309147,0.068167962,0.08824194,0,VT
2817,VT,50021,Rutland,61642,5.82E+04,43.580844,73.038196,0.097618451,0.042788433,0.093256452,0,VT
2818,VT,50023,Washington,59534,5.84E+04,44.274953,72.609475,0.029008642,0.034566518,0.093605817,0,VT
2810,VT,50007,Chittenden,156545,1.64E+05,44.460676,73.070525,0.209642118,0.461907406,0.26246296,0,VT
